Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Number of engines?,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Remarks,Wildlife: Size,Conditions: Sky,Wildlife: Species,Pilot warned of birds or wildlife?,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
233239,Airplane,SITKA ROCKY GUTIERREZ ARPT,< 1000 ft,B-737-400,2 to 10,9,None,3/10/2005 0:00,Caused damage,2,ALASKA AIRLINES,Alaska,Climb,Rain,TRUE,TRUE,"BIRDS INGESTED IN #1 ENG JUST AFTER LIFT-OFF (ASSUME 50 AGL). GULLS LIFTED FROM CENTER OF RWY, A FEW HIT THE A/C. FLT CONTD, PILOT MONITORED ENGS FOR ABNORMAL CONDITIONS. NONE NOTICED. SMELL IN CABIN WAS ONLY INDICATION OF BIRD GOING THRU ENG. NORMAL LDG.",Medium,Overcast,Glaucous-winged gull,Y,0,50,0,Yes
230623,Airplane,DENVER INTL AIRPORT,< 1000 ft,CL-RJ100/200,2 to 10,6,None,3/11/2005 0:00,No damage,2,SKYWEST AIRLINES,Colorado,Approach,None,FALSE,FALSE,NO DMG. CARCASS FOUND ON 35L APCH. AT 1505,Small,No Cloud,Rock pigeon,Y,0,20,0,No
230444,Airplane,DENVER INTL AIRPORT,> 1000 ft,A-319,2 to 10,5,None,3/11/2005 0:00,No damage,2,FRONTIER AIRLINES,Colorado,Climb,None,FALSE,FALSE,NO DMG. 1 HR INSPN.,Medium,No Cloud,Unknown bird - medium,Y,0,"1,200",0,No
233480,Airplane,LEHIGH VALLEY INTL,< 1000 ft,B-737-300,2 to 10,6,None,3/14/2005 0:00,No damage,2,US AIRWAYS*,Pennsylvania,Take-off run,None,FALSE,FALSE,CREW REPTD THEY HIT A COUPLE OF BIRDS. NO BIRDS FOUND ON RWY SWEEP. FLT CONTD TO CLT. NO REPT OF ANY DMG.,Small,No Cloud,Unknown bird - small,Y,0,0,0,Yes
228905,Airplane,LOUISVILLE INTL ARPT,< 1000 ft,A-300,2 to 10,7,None,3/17/2005 0:00,No damage,2,UPS AIRLINES,Kentucky,Approach,None,FALSE,FALSE,HIT F/O WINDSHLD AT 1500' MSL ON APCH. TWR NOTIFIED. MX LOGBOOK ENTRY MADE. CLEANED. NO DMG. EVENT 5273. (ONE REPT SHOWS DMG BUT NO COMMENTS),Medium,No Cloud,Unknown bird - medium,N,0,"1,000",0,No
233288,Airplane,ATLANTA INTL,< 1000 ft,B-717-200,2 to 10,10,None,3/20/2005 0:00,No damage,2,AIRTRAN AIRWAYS,Georgia,Approach,None,FALSE,FALSE,NONE,Small,No Cloud,Unknown bird - small,N,0,400,0,No
233087,Airplane,INDIANAPOLIS INTL,> 1000 ft,B-737-700,2 to 10,8,None,3/29/2005 0:00,No damage,2,SOUTHWEST AIRLINES,Indiana,Approach,None,FALSE,FALSE,"NO DMG SEEN ON INITIAL INSPN TO ENGS. SAW 4 BLOOD SPOTS LWR L NOSE, AND ABAOVE CAPT'S FRONT (L1) WINDOW.",Small,No Cloud,Unknown bird - small,N,0,"1,500",0,Yes
236010,Airplane,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,> 1000 ft,B-727-200,2 to 10,3,None,4/6/2005 0:00,No damage,3,ASTAR AIR CARGO,Kentucky,Descent,None,FALSE,FALSE,"7 GEESE SEEN, 2 STRUCK. A/C ON DOWNWIND FOR 27 WHEN STRIKE OCCURRED. COST FOR 1 HR LABOR DUE TO INSPN. (ASSUME CANADA GOOSE FROM DATE AND LOCATION)",Large,No Cloud,Canada goose,N,53,"5,200",0,No
232543,Airplane,NASHVILLE INTL,< 1000 ft,B-737-300,2 to 10,8,None,4/9/2005 0:00,No damage,2,BUSINESS,Tennessee,Climb,None,FALSE,FALSE,"PILOT ENTERED NAME AS OPERATOR, UNKNOWN AIRLINE",Small,No Cloud,Unknown bird - small,N,0,100,0,Yes
235950,Airplane,CHICAGO O'HARE INTL ARPT,> 1000 ft,B-737-300,2 to 10,5,Precautionary Landing,4/9/2005 0:00,Caused damage,2,UNITED AIRLINES,Illinois,Climb,None,FALSE,FALSE,"STRIKE WAS 4 MILES E ORD. SEVERAL STRIKES. REMOVED SOME FEATHERS & GAVE TO SMC. (data entry note: feathers never turned in for ID) BORESCOPED #2 ENG. OTBD CORE COWL HAS BENT TIP AT UPPER FWD EDGE. DMG TO RADOME, L WING LE & VERTICAL FIN. REPLCD LWR RT PIT",Large,No Cloud,Unknown bird - large,Y,"1,288,485","1,500",0,Yes
231200,Airplane,SOUTHWEST FLORIDA INTL ARPT,< 1000 ft,A-320,2 to 10,4,Aborted Take-off,4/9/2005 0:00,Caused damage,2,AIR CANADA,Florida,Take-off run,None,TRUE,FALSE,PILOT REPTD STRIKING AT LEAST 2 BIRDS. ABORTED T/O. SUBSTANTIAL DMG TO #2 ENG CONFIRMED. OPS FOUND 1 MOTTLED DUCK ON RWY,Medium,Some Cloud,Mottled duck,Y,0,0,0,No
231665,Airplane,NEW ORLEANS INTL,< 1000 ft,B-737-700,2 to 10,7,None,4/15/2005 0:00,No damage,2,SOUTHWEST AIRLINES,Louisiana,Approach,None,FALSE,FALSE,NO DMG OBSVD.,Small,Some Cloud,Unknown bird - small,N,0,500,0,Yes
232485,Airplane,CLEVELAND-HOPKINS INTL ARPT,< 1000 ft,B-737-200,2 to 10,10,None,4/20/2005 0:00,No damage,2,DELTA AIR LINES,Ohio,Take-off run,None,TRUE,FALSE,REMAINS ON RWY. CAPT DID NOT KNOW HOW MUCH IF ANY DAMAGE TO A/C.,Medium,Some Cloud,Ring-billed gull,N,0,0,0,Yes
233206,Airplane,ORLANDO INTL,< 1000 ft,B-737-700,2 to 10,4,None,4/20/2005 0:00,No damage,2,AIRTRAN AIRWAYS,Florida,Landing Roll,None,TRUE,FALSE,ATIS WARNING. NO DMG.,Large,Some Cloud,Sandhill crane,Y,0,0,0,Yes
232906,Airplane,SAN FRANCISCO INTL ARPT,< 1000 ft,B-737-800,2 to 10,3,None,4/23/2005 0:00,No damage,2,DELTA AIR LINES,California,Approach,None,FALSE,FALSE,HIT SEVERAL BIRDS WHILE LDG. NO DMG. TIME OUT OF SERVICE 0.3 HRS. BOTH REPORTS SHOW BIRDS COLLECTED BUT NO ID REPORTED.,Small,Some Cloud,Unknown bird - small,N,0,50,0,Yes
